,Player,Team,Position,Minutes Played,Aerial Duels Attempted,Defensive Duels Attempted,Touches in Penalty Area,Offsides,Progressive Runs,Fouls Drawn,Goals,Assists,Shots,Shots on Target,Ball Recoveries,Losses of Possession,Interceptions,Red Cards,Yellow Cards,Fouls Committed,Total Passes Attempted,Long Passes Attempted,Forward Passes,Passes into Final Third,Passes into Penalty Area,Passes Received,Crosses Attempted,Accurate Crosses,Shot Assists,ps
800,Flavien Tait,Rennes,MF,2125.0,1.1500000000000001,1.4,2.54,0.13,7.25,2.29,0.21,0.13,1.82,0.51,7.75,1.57,0.93,0.0,0.13,1.27,53.6,8.77,5.47,5.51,1.4,51.1,0.72,0.17,1.27,0
801,Flavio Junior Bianchi,Genoa,FWMF,314.0,2.57,1.14,3.43,0.0,2.29,1.43,0.29,0.0,3.14,0.86,5.43,3.14,0.86,0.0,0.0,1.71,22.3,0.57,1.14,0.29,0.29,25.4,0.29,0.0,0.86,0
802,Flavius Daniliuc,Nice,DF,1293.0,3.34,3.26,0.56,0.07,2.92,0.42,0.0,0.0,0.28,0.0,9.65,0.35,1.67,0.0,0.28,1.32,60.0,8.61,3.19,2.71,0.28,42.9,0.42,0.21,0.21,0
803,Florent Mollet,Montpellier,FWMF,2630.0,1.47,1.1,2.36,0.34,3.63,1.68,0.21,0.07,1.88,0.58,6.16,1.54,1.27,0.0,0.21,1.27,40.9,6.16,2.74,2.29,0.79,37.0,1.88,0.27,1.03,0
804,Florent Ogier,Clermont Foot,DF,2429.0,4.41,1.19,0.56,0.0,1.67,0.48,0.04,0.0,0.3,0.11,9.07,0.0,1.52,0.0,0.22,0.7,54.8,12.7,2.15,2.81,0.04,43.3,0.07,0.0,0.07,0
805,Florentino Luís,Getafe,MF,992.0,4.359999999999999,3.82,0.55,0.0,1.73,0.36,0.0,0.09,0.27,0.09,11.3,1.18,2.82,0.0,0.18,2.55,39.8,5.36,2.73,3.0,0.27,28.1,0.27,0.0,0.82,0
806,Florian Grillitsch,Hoffenheim,DFMF,1496.0,3.38,2.47,0.42,0.0,4.46,1.57,0.0,0.0,0.48,0.12,10.4,0.36,2.41,0.0,0.42,0.96,61.7,15.9,5.06,5.66,0.96,47.7,0.48,0.12,0.72,0
807,Florian Kainz,Köln,MFFW,2320.0,1.4300000000000002,1.4,2.13,0.04,4.88,1.94,0.16,0.16,1.55,0.54,7.44,1.09,1.98,0.04,0.12,1.67,41.2,11.9,4.5,2.36,1.71,32.4,4.26,0.54,1.86,0
808,Florian Krüger,Arminia,FWMF,1129.0,2.96,0.48,3.12,0.4,3.12,0.96,0.08,0.16,1.44,0.4,5.44,1.12,0.32,0.0,0.0,0.72,24.8,3.12,2.56,1.04,1.28,23.4,1.6,0.4,0.96,0
809,Florian Lejeune,Alavés,DF,2699.0,4.6,1.27,0.83,0.07,0.77,0.13,0.0,0.0,0.73,0.07,10.6,0.03,2.03,0.03,0.3,1.23,38.7,14.7,2.2,2.2,0.17,24.6,0.13,0.0,0.13,0
810,Florian Müller,Stuttgart,GK,2700.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.0,5.1,0.0,0.0,0.0,0.0,0.0,33.7,13.6,0.0,0.1,0.03,17.2,0.0,0.0,0.0,0
811,Florian Neuhaus,M'Gladbach,MF,2121.0,1.27,2.37,2.2,0.0,4.07,1.57,0.17,0.17,2.03,0.81,8.56,1.1,1.99,0.0,0.08,0.97,48.0,8.26,5.59,3.64,0.76,42.4,0.38,0.04,0.93,0
812,Florian Niederlechner,Augsburg,FW,1165.0,6.67,0.7,4.34,0.7,2.09,1.94,0.39,0.23,2.17,0.93,4.5,1.63,0.23,0.0,0.08,1.16,17.4,1.86,1.47,1.32,0.47,19.3,0.62,0.16,1.09,0
813,Florian Sotoca,Lens,FWMF,2480.0,5.19,1.34,4.38,0.33,4.24,1.23,0.22,0.14,2.46,0.83,6.09,1.49,1.12,0.0,0.25,1.49,43.3,6.88,4.02,3.3,1.01,41.9,1.52,0.36,1.09,0
814,Florian Tardieu,Troyes,MF,2632.0,2.02,1.99,0.34,0.0,3.25,1.54,0.14,0.07,0.68,0.17,10.2,0.82,1.88,0.0,0.21,0.79,69.9,16.1,5.82,5.96,0.79,53.1,0.99,0.1,1.68,0
815,Florian Wirtz,Leverkusen,MFFW,1851.0,2.47,1.36,4.47,0.49,7.04,1.46,0.34,0.49,1.75,0.63,6.7,2.57,1.41,0.0,0.1,0.83,44.2,7.72,4.95,3.06,2.33,40.5,1.46,0.15,2.72,0
816,Florin Andone,Cádiz,FW,176.0,10.5,0.0,3.0,1.5,0.0,0.5,0.0,0.0,1.5,0.5,4.0,1.0,0.5,0.0,0.5,2.5,20.0,1.0,1.0,1.5,0.0,20.0,0.0,0.0,1.0,0
817,Fodé Ballo-Touré,Milan,DF,446.0,3.4,3.8,3.2,0.2,5.8,2.0,0.0,0.0,0.6,0.2,10.2,1.6,0.8,0.0,0.4,2.6,54.6,5.4,3.6,2.6,1.6,40.6,3.2,0.8,0.8,0
