,Player,Team,Position,Minutes Played,Aerial Duels Attempted,Defensive Duels Attempted,Touches in Penalty Area,Offsides,Progressive Runs,Fouls Drawn,Goals,Assists,Shots,Shots on Target,Ball Recoveries,Losses of Possession,Interceptions,Red Cards,Yellow Cards,Fouls Committed,Total Passes Attempted,Long Passes Attempted,Forward Passes,Passes into Final Third,Passes into Penalty Area,Passes Received,Crosses Attempted,Accurate Crosses,Shot Assists,ps
1983,Nicolas Haas,Empoli,MF,1001.0,2.16,3.6,1.62,0.09,3.15,1.44,0.0,0.18,0.63,0.18,9.37,1.26,0.9,0.0,0.27,1.89,43.0,5.68,4.59,2.61,1.44,35.4,1.44,0.36,1.17,0
1984,Nicolas Höfler,Freiburg,MF,2600.0,4.5,2.7,1.21,0.0,1.8,1.38,0.07,0.14,1.11,0.35,12.2,0.55,1.59,0.0,0.17,2.01,41.8,4.95,4.01,2.66,0.55,29.2,0.38,0.07,0.66,0
1985,Nicolas Jackson,Villarreal,FW,165.0,9.440000000000001,1.11,9.44,0.56,5.0,3.33,0.0,0.0,2.78,0.56,3.89,3.33,1.11,0.0,0.56,1.11,30.0,1.11,1.67,1.11,0.56,38.9,2.22,0.0,1.67,0
1986,Nicolas Nkoulou,Watford,DF,168.0,1.06,0.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.84,0.53,0.53,0.0,0.0,0.53,27.9,7.37,0.53,1.05,0.0,21.1,0.0,0.0,0.53,0
1987,Nicolas Pallois,Nantes,DF,2447.0,2.94,2.35,0.55,0.04,1.51,0.33,0.04,0.0,0.29,0.07,9.15,0.11,2.68,0.04,0.29,0.74,40.8,9.63,1.95,2.1,0.0,28.4,0.18,0.0,0.11,0
1988,Nicolas Pépé,Arsenal,FWMF,696.0,6.63,1.82,8.31,0.52,7.79,0.65,0.13,0.26,2.99,0.91,7.66,3.12,1.17,0.0,0.0,1.56,47.4,5.19,1.82,1.3,1.3,46.1,1.43,0.39,1.69,0
1989,Nicolas Viola,Bologna,MF,102.0,3.64,3.64,1.82,0.0,0.91,0.91,0.0,0.0,0.91,0.0,15.5,0.91,1.82,0.0,0.0,1.82,56.4,8.18,2.73,0.91,0.0,36.4,1.82,0.0,0.0,0
1990,Nicolas de Préville,Metz,FWMF,1969.0,5.2,1.0,2.65,0.37,4.57,2.69,0.23,0.09,1.87,0.46,6.53,2.56,0.78,0.0,0.23,2.28,27.4,5.34,1.32,1.46,0.68,28.3,1.74,0.46,1.23,0
1991,Nicolás Domínguez,Bologna,MF,2015.0,3.13,3.48,1.34,0.0,3.48,1.92,0.0,0.13,0.98,0.18,11.6,0.94,2.01,0.0,0.36,1.43,53.4,9.06,4.46,3.88,1.34,41.7,0.4,0.13,1.21,0
1992,Nicolás González,"Barcelona, Fiorentina",MF,1735.5,3.635,1.9449999999999998,3.975,0.135,6.905,3.3249999999999997,0.21500000000000002,0.155,2.0,0.5,6.04,2.18,0.995,0.02,0.315,2.305,45.65,5.305,2.835,3.1599999999999997,1.005,47.0,1.17,0.23,1.25,0
1993,Nicolás Serrano,Athletic Club,MF,317.0,2.29,2.57,3.43,0.29,5.43,2.29,0.29,0.0,2.57,1.43,9.14,1.43,1.71,0.0,0.0,2.29,36.6,6.86,2.29,2.86,0.86,33.7,2.0,0.57,0.86,0
1994,Nicolò Barella,Inter,MF,2913.0,1.7000000000000002,2.04,3.36,0.12,6.51,1.82,0.09,0.34,2.1,0.37,9.51,1.51,1.05,0.0,0.28,1.05,57.0,7.69,5.86,4.57,2.47,52.7,2.07,0.56,1.85,0
1995,Nicolò Bertola,Spezia,MFDF,35.0,5.0,7.5,0.0,0.0,2.5,0.0,0.0,0.0,2.5,2.5,15.0,2.5,12.5,0.0,0.0,0.0,35.0,5.0,0.0,2.5,0.0,17.5,0.0,0.0,0.0,0
1996,Nicolò Casale,Hellas Verona,DF,2586.0,5.16,2.09,0.8,0.0,2.72,0.87,0.0,0.03,0.38,0.0,10.2,0.45,2.3,0.0,0.35,1.57,41.2,7.32,2.54,2.23,0.38,27.6,0.45,0.17,0.38,0
1997,Nicolò Rovella,Genoa,MF,1468.0,1.84,3.07,0.67,0.18,4.48,1.84,0.0,0.18,1.04,0.25,9.82,1.29,2.02,0.0,0.31,1.72,58.7,16.5,3.31,3.56,0.61,42.2,1.78,0.06,1.96,0
1998,Nicolò Zaniolo,Roma,FW,1971.0,2.15,1.23,5.53,0.46,6.39,3.15,0.09,0.05,3.2,0.91,5.21,2.97,0.68,0.09,0.55,2.6,25.3,4.16,2.42,1.42,1.05,33.2,1.32,0.09,1.14,0
1999,Niki Mäenpää,Venezia,GK,1485.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.06,0.0,0.0,4.48,0.12,0.0,0.0,0.06,0.06,31.6,17.3,0.0,0.3,0.0,13.0,0.0,0.0,0.06,0
2000,Nikita Iosifov,Villarreal,MF,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0
2001,Niklas Dorsch,Augsburg,MF,2324.0,1.4300000000000002,3.29,0.0,0.0,1.78,2.25,0.04,0.0,0.47,0.04,11.8,1.05,2.48,0.0,0.31,2.48,42.6,11.4,3.06,2.71,0.31,28.3,0.08,0.08,0.47,0
2002,Niklas Pyyhtiä,Bologna,MF,19.0,0.0,5.0,0.0,0.0,20.0,5.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,110.0,15.0,15.0,10.0,5.0,90.0,0.0,0.0,0.0,0
2003,Niklas Stark,Hertha BSC,DFMF,2031.0,5.53,1.86,0.58,0.04,1.5,0.97,0.04,0.0,0.53,0.18,10.5,0.22,1.9,0.0,0.13,1.02,44.5,10.5,2.35,1.42,0.13,31.1,0.04,0.0,0.13,0
2004,Niklas Süle,Bayern Munich,DF,1837.0,3.68,1.76,1.13,0.05,5.1,0.1,0.05,0.1,0.78,0.29,12.2,0.34,1.76,0.0,0.1,0.54,85.0,15.7,6.23,5.98,0.44,69.5,0.34,0.05,0.39,0
2005,Niklas Tauer,Mainz 05,DFMF,487.0,4.08,3.7,0.93,0.0,2.41,0.74,0.0,0.0,0.37,0.37,13.5,0.56,2.96,0.19,0.19,1.48,36.7,5.93,1.85,1.3,0.19,20.6,0.56,0.0,0.0,0
2006,Niko Gießelmann,Union Berlin,DF,2083.0,2.73,1.34,1.56,0.04,2.6,1.47,0.13,0.26,1.17,0.52,6.19,0.52,0.95,0.0,0.13,1.08,49.1,11.0,4.29,2.38,0.95,32.0,2.94,0.56,1.21,0
2007,Nikola Kalini?,Hellas Verona,FW,406.0,3.5500000000000003,0.44,8.44,0.44,1.78,2.22,0.89,0.22,2.89,0.89,2.22,4.44,0.0,0.22,1.11,3.56,22.7,1.33,0.89,0.44,0.44,32.0,0.22,0.0,1.56,0
2008,Nikola Maksimovi?,Genoa,DF,1115.0,4.75,1.37,0.73,0.0,1.53,0.65,0.0,0.0,0.24,0.0,11.5,0.24,1.77,0.0,0.16,1.13,42.0,9.6,2.26,2.5,0.08,26.0,0.08,0.0,0.08,0
2009,Nikola Mara,Rayo Vallecano,DF,1044.0,5.78,1.03,0.95,0.0,1.21,0.43,0.0,0.0,0.17,0.0,8.53,0.09,1.47,0.0,0.34,1.03,38.5,8.36,2.41,1.21,0.0,28.0,0.09,0.0,0.09,0
2010,Nikola Milenkovi?,Fiorentina,DF,2926.0,5.02,1.42,0.8,0.0,2.77,0.74,0.03,0.0,0.71,0.28,10.6,0.25,2.31,0.03,0.31,1.51,64.5,14.5,2.74,3.66,0.03,50.3,0.06,0.0,0.03,0
2011,Nikola Vlai?,West Ham,FWMF,560.0,2.74,2.1,5.16,0.48,5.32,3.06,0.16,0.0,1.13,0.48,7.1,2.1,1.61,0.0,0.0,1.45,35.5,3.06,2.1,0.48,0.65,33.2,2.42,0.0,1.29,0
2012,Nikola Vuk?evi?,Levante,MF,118.0,6.16,3.08,0.0,0.0,1.54,0.77,0.0,0.0,0.77,0.0,21.5,0.77,3.08,0.0,0.77,2.31,55.4,6.15,4.62,3.85,0.77,33.8,0.0,0.0,1.54,0
2013,Nikolas Nartey,Stuttgart,MFDF,404.0,3.78,2.0,1.56,0.22,3.56,1.33,0.0,0.0,0.22,0.0,7.78,0.89,1.56,0.0,0.22,2.22,44.9,4.89,3.78,1.78,1.56,35.3,1.78,0.44,0.89,0
2014,Nils Petersen,Freiburg,FWMF,580.0,13.280000000000001,1.25,5.47,0.0,1.25,0.63,0.78,0.16,2.34,0.78,6.09,0.47,0.63,0.0,0.0,0.47,22.2,1.09,1.25,0.63,0.63,21.3,0.31,0.16,1.09,0
2015,Nils Seufert,Greuther Fürth,MF,99.0,0.0,1.82,0.0,0.0,1.82,0.91,0.0,0.0,0.0,0.0,6.36,0.0,0.91,0.0,0.0,0.91,26.4,2.73,1.82,2.73,0.0,19.1,0.0,0.0,0.0,0
2016,Njego Petrovi?,Granada,MF,918.0,3.72,2.65,0.69,0.1,2.25,1.67,0.0,0.1,0.78,0.2,10.8,0.59,1.18,0.0,0.49,1.18,33.9,4.31,2.45,2.16,0.39,24.7,0.29,0.0,0.29,0
2017,Noah Fatar,Angers,DFMF,5.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,70.0,0.0,10.0,10.0,0.0,30.0,0.0,0.0,0.0,0
2018,Noah Guede-Nadje,Angers,FW,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2019,Noah Joel Sarenren Bazee,Augsburg,MFFW,241.0,9.26,1.85,7.78,0.0,4.44,1.11,0.37,0.0,2.59,1.11,6.67,2.22,2.22,0.0,0.37,2.59,18.9,2.22,0.37,0.0,1.48,23.7,3.7,1.11,0.74,0
2020,Noah Katterbach,Köln,DF,16.0,5.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,60.0,10.0,0.0,0.0,0.0,30.0,5.0,0.0,0.0,0
2021,Noah Weißhaupt,Freiburg,MFFW,97.0,1.82,1.82,5.45,0.0,4.55,2.73,0.0,0.0,0.0,0.0,9.09,2.73,3.64,0.0,0.0,2.73,38.2,3.64,5.45,2.73,0.91,33.6,2.73,0.91,0.91,0
2022,Nolito,Celta Vigo,MF,1384.0,1.75,1.56,2.92,0.39,3.51,1.04,0.13,0.0,1.3,0.58,7.21,1.17,0.78,0.0,0.13,1.49,36.9,5.78,4.03,2.66,1.62,32.4,0.71,0.19,0.84,0
2023,Norbert Gyömbér,Salernitana,DF,2563.0,3.13,2.07,0.63,0.0,1.09,0.6,0.0,0.0,0.32,0.07,8.46,0.11,1.89,0.0,0.32,1.75,37.2,9.44,2.39,2.0,0.32,23.9,0.53,0.14,0.25,0
2024,Nordi Mukiele,RB Leipzig,DF,1842.0,4.0,2.15,3.51,0.39,3.71,1.22,0.05,0.15,1.07,0.34,8.54,0.98,2.54,0.0,0.15,1.27,55.7,8.54,4.49,1.9,1.41,41.8,1.95,0.39,0.63,0
2025,Nordine Kandil,Strasbourg,MFFW,90.0,1.0,1.0,3.0,0.0,15.0,2.0,0.0,1.0,1.0,0.0,11.0,5.0,1.0,0.0,1.0,1.0,67.0,7.0,9.0,8.0,2.0,68.0,3.0,0.0,1.0,0
2026,Nuno Mendes,Paris S-G,DF,1658.0,1.1400000000000001,2.45,1.41,0.05,5.16,1.36,0.0,0.05,0.38,0.05,7.77,1.09,2.07,0.0,0.16,1.14,61.6,5.6,2.66,3.04,0.65,47.9,1.63,0.27,0.92,0
2027,Nuno Tavares,Arsenal,DF,1176.0,4.04,1.53,3.59,0.08,6.87,1.07,0.08,0.08,1.76,0.15,7.71,1.37,1.83,0.0,0.15,2.06,54.5,6.11,2.14,1.98,0.76,42.7,2.44,0.46,0.69,0
2028,Nélson Semedo,Wolves,DF,2131.0,2.19,2.49,2.36,0.17,6.33,1.01,0.0,0.04,0.8,0.17,7.47,1.31,1.81,0.0,0.04,0.97,48.6,5.44,3.04,2.15,0.42,35.8,1.1,0.08,0.68,0
2029,Néstor Araujo,Celta Vigo,DF,2617.0,4.2700000000000005,0.93,0.34,0.0,3.2,0.34,0.0,0.0,0.27,0.03,9.73,0.17,1.82,0.0,0.14,0.69,52.2,12.8,1.92,2.03,0.1,40.2,0.1,0.03,0.03,0
2030,Obite N'Dicka,Eint Frankfurt,DF,2857.0,7.04,2.05,1.2,0.13,2.37,0.47,0.13,0.13,0.85,0.16,10.6,0.41,2.02,0.0,0.09,1.55,58.3,9.5,2.65,1.99,0.32,45.7,0.32,0.06,0.35,0
2031,Odilon Kossonou,Leverkusen,DF,1793.0,3.2199999999999998,1.66,0.45,0.0,2.16,0.5,0.0,0.05,0.2,0.05,8.54,0.7,2.11,0.0,0.15,0.95,58.3,13.4,2.16,2.31,0.2,43.7,0.25,0.05,0.2,0
2032,Odsonne Édouard,Crystal Palace,FW,1564.0,6.32,0.98,5.17,0.23,4.08,0.63,0.34,0.17,2.18,0.98,4.94,2.64,0.63,0.0,0.23,1.61,25.0,1.21,2.07,1.15,0.75,28.0,0.46,0.06,1.09,0
2033,Oghenekaro Etebo,Watford,MF,401.0,0.88,2.67,0.0,0.0,2.22,0.89,0.0,0.0,0.67,0.0,7.78,0.89,1.78,0.0,0.67,2.0,34.9,8.0,2.67,2.44,0.67,25.8,0.22,0.22,0.44,0
2034,Ohis Felix Uduokhai,Augsburg,DF,787.0,4.83,1.49,0.34,0.0,1.49,0.92,0.0,0.0,0.23,0.0,7.93,0.34,2.18,0.0,0.11,1.15,47.6,11.3,2.76,2.99,0.46,36.3,0.11,0.0,0.11,0
2035,Oier Olazábal,Espanyol,GK,135.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,28.7,20.7,0.0,0.0,0.0,8.67,0.0,0.0,0.0,0
2036,Oier Sanjurjo,Osasuna,MF,758.0,5.24,1.55,1.31,0.24,1.31,0.95,0.12,0.0,1.07,0.12,9.88,0.95,0.24,0.0,0.36,2.5,36.9,6.19,3.69,3.45,1.07,29.6,0.95,0.24,0.24,0
2037,Oier Zarraga,Athletic Club,MF,1166.0,2.08,1.23,1.54,0.08,4.23,1.31,0.08,0.0,1.31,0.23,8.08,1.08,1.38,0.0,0.38,1.85,38.7,5.62,4.62,4.69,0.69,33.5,1.15,0.0,0.38,0
2038,Oihan Sancet,Athletic Club,FW,1422.0,3.79,1.14,5.25,0.32,4.94,1.9,0.38,0.25,1.96,0.89,3.99,3.54,0.44,0.0,0.13,1.33,29.2,2.47,2.85,2.09,1.46,35.1,0.63,0.13,1.52,0
2039,Okay Yokuþlu,"Getafe, Celta Vigo",DFMF,302.5,5.03,1.805,1.23,0.0,1.275,1.105,0.0,0.0,1.01,0.095,12.05,0.915,2.1399999999999997,0.0,0.095,1.105,41.55,7.24,2.0949999999999998,1.375,0.19,29.1,0.0,0.0,0.0,0
2040,Ola Aina,Torino,DF,1437.0,2.57,2.0,2.06,0.06,5.38,1.94,0.0,0.0,0.63,0.25,7.88,1.13,2.06,0.0,0.25,1.25,47.3,8.44,4.19,2.63,1.31,34.6,1.88,0.31,1.06,0
2041,Oleksandr Zinchenko,Manchester City,DF,1047.0,2.8499999999999996,1.72,1.9,0.09,9.66,0.34,0.0,0.34,1.03,0.34,9.83,0.69,1.55,0.0,0.0,0.95,91.5,9.57,8.45,7.84,1.98,74.7,2.41,0.26,1.38,0
2042,Oliver Baumann,Hoffenheim,GK,2970.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,6.7,0.0,0.0,0.0,0.03,0.0,46.1,18.9,0.0,0.58,0.0,27.9,0.0,0.0,0.0,0
2043,Oliver Skipp,Tottenham,MF,1350.0,1.73,2.2,0.67,0.07,5.67,1.53,0.0,0.0,0.27,0.07,8.87,0.87,1.27,0.0,0.4,1.33,54.8,6.33,4.6,5.13,0.6,46.0,0.33,0.07,0.47,0
2044,Olivier Giroud,Milan,FW,1892.0,7.96,0.81,6.33,0.52,0.81,1.19,0.52,0.14,2.9,1.1,3.24,0.76,0.19,0.0,0.19,1.62,23.1,1.0,1.1,0.48,0.52,25.5,0.19,0.05,1.0,0
2045,Ollie Watkins,Aston Villa,FW,2952.0,6.34,0.52,5.67,0.52,3.38,1.46,0.34,0.06,2.35,0.95,3.17,2.32,0.52,0.0,0.21,1.16,21.0,1.25,1.46,0.91,0.73,25.6,0.7,0.03,0.98,0
2046,Omar Alderete,Valencia,DF,2403.0,5.1,2.43,0.94,0.0,2.13,0.26,0.07,0.0,0.64,0.19,10.6,0.3,2.62,0.0,0.56,1.84,34.8,15.6,2.85,2.85,0.26,20.8,0.07,0.0,0.19,0
2047,Omar Colley,Sampdoria,DF,2745.0,4.2,1.77,0.59,0.03,1.77,1.05,0.0,0.0,0.36,0.03,9.7,0.07,3.25,0.03,0.2,0.89,46.7,10.4,2.39,2.36,0.03,32.5,0.0,0.0,0.0,0
2048,Omar Faraj,Levante,FW,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0
2049,Omar Marmoush,"Stuttgart, Wolfsburg",FWMF,797.5,5.33,4.165,4.21,0.2,5.505,3.465,0.085,0.145,3.065,0.37,7.6850000000000005,1.6,0.43,0.0,0.085,1.085,28.0,1.915,4.05,2.18,0.23,25.95,0.43,0.085,2.58,0
2050,Omar Mascarell,Elche,MF,2493.0,3.18,1.55,0.22,0.0,2.42,1.05,0.0,0.0,0.43,0.04,9.03,0.32,1.48,0.0,0.22,1.66,43.5,8.7,2.31,2.45,0.11,33.4,0.18,0.0,0.22,0
2051,Omar Richards,Bayern Munich,DF,438.0,1.63,4.29,2.65,0.0,3.88,4.49,0.0,0.0,0.82,0.0,8.16,2.04,1.43,0.0,0.2,3.06,73.3,5.31,5.31,4.29,1.02,58.8,1.22,0.0,0.61,0
2052,Ondrej Duda,Köln,MF,1611.0,3.4699999999999998,1.23,3.18,0.0,3.18,2.01,0.11,0.0,2.35,0.84,8.94,2.12,1.56,0.0,0.28,2.35,38.0,6.87,3.46,2.68,1.17,33.7,0.73,0.22,1.17,0
2053,Opa Nguette,Metz,FWMF,1048.0,4.66,2.24,2.93,0.34,4.22,2.24,0.17,0.17,1.98,0.6,5.78,3.45,0.26,0.0,0.09,1.21,22.2,0.78,1.38,1.03,0.26,28.6,0.17,0.0,0.95,0
2054,Orbelín Pineda,Celta Vigo,MFFW,99.0,2.73,3.64,6.36,0.0,5.45,3.64,0.0,0.0,4.55,0.91,17.3,2.73,0.0,0.0,0.0,2.73,61.8,9.09,7.27,6.36,1.82,54.5,0.0,0.0,0.91,0
2055,Orel Mangala,Stuttgart,MF,1853.0,2.13,0.92,2.28,0.0,3.4,1.46,0.05,0.15,0.83,0.39,7.72,2.23,1.36,0.0,0.19,1.46,38.6,3.59,2.14,2.18,0.53,35.5,0.29,0.0,1.41,0
2056,Oriol Busquets,Clermont Foot,MF,201.0,3.64,1.36,0.45,0.0,2.27,0.0,0.0,0.0,0.45,0.0,8.64,0.91,0.45,0.0,0.0,0.91,58.2,10.5,2.27,3.18,0.45,50.0,0.91,0.45,0.0,0
2057,Oriol Romeu,Southampton,MF,2889.0,4.08,2.52,1.68,0.0,4.49,0.81,0.06,0.06,0.78,0.12,12.8,0.62,2.09,0.0,0.28,1.71,52.5,8.29,3.89,3.89,0.78,39.3,0.22,0.06,1.09,0
2058,Osman Bukari,Nantes,FWMF,1012.0,2.14,1.61,5.0,0.45,5.89,0.45,0.18,0.36,1.79,0.8,7.86,1.88,1.79,0.0,0.09,1.25,28.5,2.32,1.43,0.8,0.63,27.6,1.7,0.36,1.79,0
2059,Otávio,Bordeaux,MF,1147.0,1.49,3.39,0.08,0.0,2.44,0.87,0.0,0.0,0.94,0.24,9.53,0.47,1.34,0.0,0.24,1.97,55.7,9.21,3.31,2.99,0.39,45.4,0.24,0.0,0.47,0
2060,Oualid El Hajjam,Troyes,DF,1072.0,1.84,1.93,0.92,0.0,2.27,0.92,0.08,0.08,0.92,0.25,8.07,0.59,3.45,0.0,0.17,1.6,49.2,8.66,1.34,1.68,0.42,34.3,1.26,0.34,0.42,0
2061,Ouparine Djoco,Clermont Foot,GK,2116.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.0,5.79,0.0,0.0,0.0,0.04,0.04,31.2,17.0,0.04,0.13,0.0,13.1,0.0,0.0,0.0,0
2062,Ousmane Dembélé,Barcelona,FW,1409.0,0.8300000000000001,1.66,6.31,0.25,14.3,1.72,0.06,0.83,3.12,0.57,4.97,1.53,0.83,0.0,0.19,0.7,52.3,8.28,4.2,1.66,2.68,52.5,6.11,0.83,2.93,0
2063,Oussama Idrissi,"Cádiz, Sevilla",FWMF,514.5,1.21,1.105,4.85,0.815,9.13,1.63,0.05,0.05,2.48,1.115,4.485,1.77,2.03,0.0,0.45499999999999996,2.03,37.25,5.485,3.385,0.6,1.5150000000000001,37.5,1.5,0.25,1.455,0
2064,Oussama Targhalline,Marseille,FW,5.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,20.0,70.0,0.0,0.0,0.0,0.0,70.0,0.0,0.0,0.0,0
2065,Ozan Kabak,Norwich City,DF,922.0,4.8,1.27,0.49,0.0,1.47,1.27,0.0,0.0,0.39,0.2,7.84,0.59,2.16,0.0,0.2,1.18,40.6,6.96,1.76,1.67,0.0,31.4,0.0,0.0,0.2,0
2066,Ozan Tufan,Watford,MF,334.0,3.5100000000000002,1.08,2.43,0.27,1.89,0.0,0.0,0.0,0.81,0.0,9.46,1.35,0.54,0.0,0.0,2.43,33.0,5.68,2.97,3.51,0.27,23.8,0.81,0.0,1.08,0
2067,Pablo Fornals,West Ham,FWMF,2795.0,2.15,1.64,2.41,0.19,4.95,1.29,0.19,0.1,1.38,0.35,7.56,1.03,1.51,0.0,0.13,1.03,44.4,7.94,5.21,3.47,1.7,38.6,1.58,0.35,1.51,0
2068,Pablo Galdames Millán,Genoa,MF,1028.0,2.2800000000000002,2.63,1.4,0.26,2.02,1.14,0.0,0.0,1.05,0.26,9.74,1.49,1.32,0.0,0.18,2.02,39.3,8.07,3.51,1.84,0.7,29.1,1.4,0.18,1.14,0
2069,Pablo Maffeo,Mallorca,DF,2945.0,4.0,2.6,1.62,0.09,3.94,2.05,0.03,0.12,0.89,0.21,7.03,1.9,2.2,0.0,0.31,1.1,40.3,8.01,2.11,1.07,0.98,26.5,2.66,0.67,0.73,0
2070,Pablo Martínez,Levante,MF,656.0,3.02,1.78,1.51,0.14,3.42,1.37,0.0,0.14,1.51,0.14,7.95,1.51,1.92,0.0,0.27,1.78,35.6,7.26,3.42,2.19,0.68,30.5,1.37,0.14,0.82,0
2071,Pablo Marí,"Udinese, Arsenal",DF,760.5,4.965,2.105,1.22,0.0,1.3,0.35,0.065,0.0,0.585,0.17,9.08,0.035,2.74,0.035,0.315,1.02,41.75,11.25,2.67,3.19,0.0,28.05,0.3,0.0,0.35,0
2072,Pablo Piatti,Elche,MFFW,312.0,3.71,2.0,1.43,0.29,3.71,2.29,0.0,0.0,1.14,0.57,6.29,1.43,1.14,0.0,0.0,3.14,28.3,2.57,1.43,1.14,0.57,27.4,0.57,0.0,1.43,0
2073,Pablo Rosario,Nice,MF,2729.0,2.54,2.31,0.59,0.07,4.52,0.73,0.0,0.07,0.59,0.1,9.37,0.59,1.62,0.0,0.23,1.45,57.3,8.28,4.55,4.59,0.53,48.1,0.46,0.13,0.69,0
2074,Pablo Sarabia,Paris S-G,FW,22.0,0.0,0.0,5.0,0.0,5.0,5.0,5.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,5.0,5.0,100.0,20.0,0.0,0.0,0.0,115.0,10.0,0.0,0.0,0
2075,Paco Alcácer,Villarreal,FW,787.0,4.6,0.57,5.17,0.92,1.38,0.8,0.11,0.34,2.18,0.92,3.22,0.8,0.46,0.0,0.11,0.8,19.7,1.15,1.15,0.69,0.57,19.9,0.23,0.11,0.69,0
2076,Panagiotis Retsos,"Leverkusen, Hellas Verona",DFFW,43.5,2.5,0.835,2.085,0.0,3.335,2.085,0.0,0.0,1.25,0.0,8.35,0.835,2.915,0.0,0.0,0.835,33.35,3.75,3.75,1.25,1.665,25.4,0.0,0.0,0.835,0
2077,Paolo Faragò,Cagliari,MF,16.0,10.0,10.0,20.0,0.0,5.0,0.0,0.0,0.0,10.0,5.0,15.0,5.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,5.0,0.0,40.0,0.0,0.0,0.0,0
2078,Paolo Ghiglione,Genoa,DF,603.0,2.9899999999999998,2.24,1.19,0.0,4.18,0.6,0.0,0.15,1.19,0.6,7.61,0.9,1.94,0.0,0.45,1.79,50.6,12.1,3.28,1.34,1.34,34.8,3.28,0.75,1.04,0
2079,Papa Ndiaga Yade,Metz,DFMF,696.0,1.4300000000000002,2.47,0.78,0.0,6.75,0.91,0.0,0.13,1.04,0.0,5.45,1.56,1.95,0.0,0.39,1.3,40.4,8.05,2.6,1.17,0.91,33.9,3.51,0.65,0.78,0
2080,Pape Gueye,Marseille,MF,1528.0,2.3499999999999996,2.35,0.82,0.24,4.12,2.65,0.0,0.06,1.76,0.24,8.29,1.24,2.29,0.0,0.41,1.76,56.9,8.65,3.65,5.47,0.59,52.6,0.18,0.0,0.47,0
2081,Pape Matar Sarr,Metz,MF,2129.0,2.48,2.41,0.72,0.08,4.6,0.97,0.04,0.13,1.35,0.34,9.62,1.65,1.98,0.0,0.3,1.48,43.0,8.23,3.33,3.46,0.51,36.2,0.0,0.0,0.93,0
2082,Papu Gómez,Sevilla,MFFW,1784.0,1.9700000000000002,1.06,2.27,0.05,9.7,2.58,0.25,0.05,1.72,0.61,5.86,1.82,0.91,0.0,0.2,1.31,49.2,8.23,3.94,3.74,1.31,48.5,1.92,0.56,1.21,0
2083,Pascal Groß,Brighton,MFDF,2038.0,2.13,1.37,2.83,0.18,4.42,0.49,0.09,0.18,1.02,0.31,8.14,1.06,0.71,0.0,0.04,0.84,58.2,14.1,4.56,3.58,1.55,43.9,2.92,0.53,2.65,0
2084,Pascal Stenzel,Stuttgart,DF,899.0,2.8,2.4,0.6,0.0,3.4,0.4,0.0,0.0,0.7,0.3,9.7,0.2,2.3,0.0,0.1,1.2,68.1,20.5,5.3,4.5,0.9,45.7,1.0,0.3,0.7,0
2085,Pascal Struijk,Leeds United,DF,2055.0,3.64,2.98,0.66,0.04,1.49,0.44,0.04,0.0,0.48,0.13,10.1,0.48,2.76,0.04,0.26,1.27,53.2,9.96,3.16,2.63,0.09,40.0,0.0,0.0,0.26,0
2086,Pasquale Mazzocchi,"Venezia, Salernitana",DF,1256.0,2.33,1.3599999999999999,0.46499999999999997,0.035,4.52,0.505,0.0,0.07,0.43,0.07,6.59,1.585,2.335,0.0,0.18,1.435,41.05,7.955,2.255,1.51,0.895,29.0,2.65,0.39,0.82,0
2087,Pathé Ciss,Rayo Vallecano,MF,1097.0,5.08,2.7,0.57,0.08,2.95,1.15,0.16,0.08,1.64,0.41,13.3,0.9,2.7,0.0,0.41,1.64,43.9,10.1,3.85,4.1,0.25,31.1,0.0,0.0,0.33,0
